unicode,unicode padded,unicodevalue
0x1f84,u+04f9,1f84
0x1f85,u+04f9,1f85
0x1f86,u+04f9,1f86
0x1f87,u+04f9,1f87
0x1f88,u+04f9,1f88
0x1f89,u+04f9,1f89
0x1f8a,u+04f9,1f8a
0x1f8b,u+04f9,1f8b
0x1f8c,u+04f9,1f8c
0x1f8d,u+04f9,1f8d
0x1f8e,u+04f9,1f8e
0x1f8f,u+04f9,1f8f
0x1f90,u+04f9,1f90
0x1f91,u+04f9,1f91
0x1f92,u+04f9,1f92
0x1f93,u+04f9,1f93
0x1f94,u+04f9,1f94
0x1f95,u+04f9,1f95
0x1f96,u+04f9,1f96
0x1f97,u+04f9,1f97
0x1f98,u+04f9,1f98
0x1f99,u+04f9,1f99
0x1f9a,u+04f9,1f9a
0x1f9b,u+04f9,1f9b
0x1f9c,u+04f9,1f9c
0x1f9d,u+04f9,1f9d
0x1f9e,u+04f9,1f9e
0x1f9f,u+04f9,1f9f
0x1fa0,u+04f9,1fa0
